Category,Page,Post Type,Rating,Debate,share_count,reaction_count,comment_count
2,3,1,3,0,2.0,36.0,33.0
2,3,1,3,0,9.0,95.0,95.0
2,3,1,3,0,22880.0,6899.0,1145.0
2,3,1,3,0,99.0,888.0,402.0
2,3,1,3,0,554.0,1672.0,1248.0
2,3,1,3,0,103.0,733.0,468.0
2,3,2,4,0,3.0,28.0,61.0
2,3,1,3,0,14.0,116.0,75.0
2,3,1,3,0,19.0,207.0,224.0
2,3,4,3,0,56.0,509.0,297.0
2,3,1,3,0,57.0,451.0,146.0
2,3,1,3,0,39.0,270.0,182.0
2,3,1,3,0,53.0,433.0,204.0
2,3,1,3,0,579.0,2805.0,374.0
2,3,1,3,0,36.0,463.0,230.0
2,3,4,3,0,71.0,833.0,339.0
2,3,1,3,0,7.0,76.0,62.0
2,3,4,3,0,308.0,1560.0,568.0
2,3,4,3,0,513.0,1628.0,1515.0
2,3,1,3,0,31.0,455.0,227.0
2,3,1,3,0,183.0,654.0,258.0
2,3,1,3,0,231.0,1224.0,549.0
2,3,1,3,0,15.0,169.0,100.0
2,3,1,3,0,43.0,293.0,248.0
2,3,1,3,0,187.0,596.0,402.0
2,3,4,3,0,111.0,529.0,583.0
2,3,1,3,0,651.0,1418.0,558.0
2,3,1,3,0,23.0,363.0,147.0
2,3,1,3,0,29.0,68.0,23.0
2,3,1,3,0,288.0,2459.0,587.0
2,3,1,3,0,20.0,164.0,87.0
2,3,1,3,0,37.0,254.0,198.0
2,3,1,3,0,96.0,352.0,122.0
2,3,1,3,0,127.0,1015.0,260.0
2,3,1,1,0,271.0,1554.0,375.0
2,3,1,3,0,41.0,340.0,533.0
2,3,1,3,0,14.0,56.0,48.0
2,3,1,3,0,5.0,39.0,47.0
2,3,1,4,0,2.0,37.0,82.0
2,3,1,3,0,75.0,285.0,187.0
2,3,1,4,0,88.0,555.0,210.0
2,3,1,1,0,269.0,1195.0,255.0
2,3,1,3,0,150.0,208.0,177.0
2,3,1,3,0,71.0,436.0,433.0
2,3,1,3,0,16.0,211.0,123.0
2,3,1,3,0,59.0,371.0,292.0
2,3,1,3,0,14.0,169.0,88.0
2,3,1,3,0,222.0,602.0,351.0
2,3,1,3,0,16.0,67.0,53.0
2,3,1,3,0,9.0,50.0,39.0
2,3,1,3,0,21.0,112.0,129.0
2,3,1,3,0,10.0,44.0,30.0
2,3,1,3,0,18.0,192.0,210.0
2,3,1,3,0,260.0,1042.0,768.0
2,3,1,3,0,25.0,174.0,88.0
2,3,1,3,0,11.0,60.0,70.0
2,3,1,3,0,56.0,184.0,224.0
2,3,1,3,0,64.0,250.0,140.0
2,3,1,3,0,17.0,88.0,56.0
2,3,1,3,0,46.0,259.0,126.0
2,3,1,3,0,53.0,374.0,138.0
2,3,1,3,0,63.0,313.0,138.0
2,3,1,3,0,7.0,93.0,80.0
2,3,4,4,0,945.0,4207.0,327.0
2,3,1,3,0,115.0,775.0,544.0
2,3,1,3,0,27.0,620.0,236.0
2,3,1,3,0,5.0,37.0,35.0
2,3,4,3,0,56.0,386.0,293.0
2,3,4,3,0,148.0,691.0,1333.0
2,3,1,3,0,734.0,2447.0,399.0
2,3,1,3,0,36.0,283.0,95.0
2,3,1,3,0,615.0,2711.0,704.0
2,3,1,3,0,9.0,79.0,46.0
2,3,1,3,0,57.0,326.0,247.0
2,3,1,3,0,153.0,505.0,415.0
2,3,1,3,0,91.0,661.0,290.0
2,3,1,3,0,53.0,211.0,191.0
2,3,1,3,0,6.0,136.0,105.0
2,3,1,3,0,43.0,352.0,271.0
2,3,1,3,0,15.0,85.0,60.0
2,3,1,3,0,67.0,525.0,386.0
2,3,1,4,0,79.0,608.0,1255.0
2,3,1,3,0,52.0,220.0,200.0
2,3,1,3,0,206.0,1860.0,656.0
